transaction_id,user_id,date,category,amount
1001,1,2026-01-05,Food,250
1002,1,2026-01-06,Transport,120
1003,1,2026-01-08,Shopping,1500
1004,5,2026-01-15,Utilities,950
1005,2,2026-01-05,Food,300
1006,2,2026-01-10,Utilities,800
1007,4,2026-01-20,Shopping,2200
1008,3,2026-01-12,Entertainment,500
1009,3,2026-01-13,Transport,200
1010,3,2026-01-18,Healthcare,1200
1011,4,2026-02-02,Food,400
1012,4,2026-02-08,Shopping,1800
1013,3,2026-02-10,Entertainment,700
1014,1,2026-02-14,Transport,150
1015,2,2026-02-25,Food,450
1016,1,2026-02-28,Food,300
1017,5,2026-03-01,,450
1018,3,2026-03-02,Transport,
1019,4,,Utilities,700
1020,2,2026-03-05,Shopping,1200
